Common,Scientific,Rating,Tag,Human,Bee,Notes,URL,URL2
Caperbush,Capparis,2,,2,,Edible fruit,,
https://fallingfruit.org/,Capsella,2,,2,,,,
https://fallingfruit.org/,Capsicum,2,,2,,,,
Siberian peashrub,Caragana arborescens,1,,1,,Edible pea pods and flowers,,
Siberian peashrub,Caragana arborescens ,1,,1,,,,
https://fallingfruit.org/,Cardamine,2,,2,,,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Careya,2,,2,,,,
Papaya,Carica papaya,1,,1,,,,
Babaco,Carica pentagona,1,,1,,Papaya hybrid,,
,Cariocar,2,,2,,,,
,Carissa,2,,2,,,,
http://www.fruitipedia.com/,Carludovica,2,,2,,,,
Saguaro,Carnegiea,1,[syn],1,,[syn] Carnegiea gigantea,,
Saguaro,Carnegiea gigantea,1,,1,,,http://www.eattheweeds.com/cereus-today-not-tomorrow/,
Hornbeam,Carpinus,-1,,-1,,,,
https://fallingfruit.org/,Carpobrotus,2,,2,,,,
http://pfaf.org,Carthamnus,2,,2,,PFAF = 3,,
http://pfaf.org,Carum,2,,2,,PFAF = 3,,
Hickory,Carya,2,,2,,,,
Mockernut hickory,Carya alba,1,syn,1,,[syn] Carya tomentosa,,
Chinese hickory,Carya cathayensis,1,,1,,Underutilized crop,http://en.wikipedia.org/wiki/Neglected_and_underutilized_crop,
Bitternut hickory,Carya cordiformis,1,,1,,"Edible but astringent (pfaf), Not edible (wikipedia)",,
Scrub Hickory,Carya floridana,2,,2,,,,
Pignut hickory,Carya glabra,1,,1,,,,
Pecan,Carya illinoinensis,1,,1,,,,
Shellbark hickory,Carya laciniosa,1,,1,,,,
Red hickory,Carya ovalis,1,,1,,,,
Shagbark Hickory,Carya ovata,1,,1,,,,
Sand hickory,Carya pallida,1,,1,,,,
Black hickory,Carya texana,2,,2,,,,
Mockernut hickory,Carya tomentosa,1,,1,,,,
http://www.fruitipedia.com/,Caryocar,2,,2,,,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Caryodendron,2,,2,,,,
http://www.fruitipedia.com/,Casearia,2,,2,,,,
White Sapote,Casimiroa edulis,1,,1,,,,
,Cassia,2,,2,,,,
Argentine senna,Cassia corymbosa,-1,syn,-1,,[syn] Senna corymbosa,,
Golden shower,Cassia fistula,-1,,-1,,"Fruit pulp purgative, unsupervised use not recommended",http://en.wikipedia.org/wiki/Cassia_fistula,
Gold medallion tree,Cassia leptophylla,0,,0,,,http://www.learn2grow.com/plants/cassia-leptophylla/,
http://www.fruitipedia.com/,Cassinopsis,2,,2,,,,
,Cassytha,2,,2,,,,
Chestnut,Castanea,1,,1,,,,
Japanese chestnut,Castanea crenata,1,,1,,,,
American chestnut,Castanea dentata,1,,1,,,,
Chinese chestnut,Castanea mollissima,1,,1,,,,
Dwarf chestnut,Castanea pumila,1,,1,,,,
Sweet chestnut,Castanea sativa,1,,1,,,,
http://fruitandnuttrees.com/,Castanopsis,2,,2,,,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Castanospermum,2,,2,,,,
Catalpa,Catalpa,2,bee,-1,2,,,
Southern catalpa,Catalpa bignonioides,1,bee,-1,1,Or do bees like it too?,,
Northern catalpa,Catalpa speciosa,1,bee,-1,1,,,
http://pfaf.org,Caulophyllum,2,,2,,PFAF = 3,,
http://www.fruitipedia.com/,Cavendishia,2,,2,,,,
http://pfaf.org,Ceanothus,2,,2,,PFAF > 3,,
Chinese toon,Cedrela sinensis,1,syn,1,,,,
Cedar,Cedrus,-1,,-1,,,,
Deodar cedar,Cedrus deodara,-1,,-1,,,,
Hackberry,Celtis,1,,1,,,,
Mediterranean Hackberry,Celtis australis,1,,1,,,,
Sugarberry,Celtis laevigata,1,,1,,,http://www.eattheweeds.com/sugarberries-hackberries-with-a-southern-accent-2/,
Common Hackberry,Celtis occidentalis,1,,1,,,,
Netleaf Hackberry,Celtis reticulata,1,,1,,,,
Chinese hackberry,Celtis sinensis,2,,2,,,,
https://fallingfruit.org/,Centaurea,2,,2,,,,
http://pfaf.org,Centella,2,,2,,PFAF = 3,,
Plum Yew,Cephalotaxus,1,,1,,,,
Chinese Plum Yew,Cephalotaxus fortunei,1,,1,,,,
Japanese Plum Yew,Cephalotaxus harringtonia,1,,1,,,,
Chinese Plum Yew,Cephalotaxus sinensis,1,,1,,,,
Taiwan Plum Yew,Cephalotaxus wilsoniana,1,,1,,,,
Stone fruit,Cerasus,2,syn,2,,[syn] Prunus,,
Carob,Ceratonia siliqua,1,,1,,,,
Suicide tree,Cerbera odollam,-1,,-1,,Poisonous,,
Katsura,Cercidiphyllum,-1,,-1,,,,
Redbud,Cercis,2,,2,,,,
Eastern redbud,Cercis canadensis,1,,1,,,,
Chinese redbud,Cercis chinensis,-1,,-1,,,,
Western redbud,Cercis occidentalis,1,,1,,,http://www.eattheweeds.com/eastern-red-bud-pea-pods-on-a-tree/,
Oklahoma redbud,Cercis reniformis,2,,2,,Edibility unconfirmed,,
Judas tree,Cercis siliquastrum,1,,1,,,http://www.eattheweeds.com/eastern-red-bud-pea-pods-on-a-tree/,
http://www.fruitipedia.com/,Cereus,2,,2,,All fruit edible,http://www.eattheweeds.com/cereus-today-not-tomorrow/,
,Nopalea,2,,2,,,,
Cereus childsii,Cereus childsii,2,,2,,,http://www.eattheweeds.com/cereus-today-not-tomorrow/,
Cereus hildmannianus,Cereus hildmannianus,2,,2,,,http://www.eattheweeds.com/cereus-today-not-tomorrow/,
http://pfaf.org,Cetraria,2,,2,,PFAF = 3,,
,Chaenomeles,1,,1,,,,
http://pfaf.org,Chaerophyllum,2,,2,,PFAF = 3,,
False cypress,Chamaecyparis,-1,,-1,,,,
,Chamaedorea,2,,2,,,,
http://pfaf.org,Chamaemelum,2,,2,,PFAF > 3,,
Dogwood,Chamaepericlymenum,2,syn,2,,[syn] Cornus,,
Dwarf fan palm,Chamaerops humilis,2,,2,,Husk edible?,,
,Cheilochlinium,2,,2,,,,
http://www.fruitipedia.com/,Cheiloclinium,2,,2,,,,
http://www.fruitipedia.com/,Cheilosa,2,,2,,,,
http://fruitandnuttrees.com/,Chenopodium,2,,2,,,,
,Chilopsis,-1,,-1,,Monotypic genus,,
Desert willow,Chilopsis linearis,-1,,-1,,,,
Fringetree,Chionanthus,-1,,-1,,,,
http://pfaf.org,Chlorogalum,2,,2,,PFAF > 3,,
https://fallingfruit.org/,Chlorophyllum,2,,2,,,,
Lapsi,Choerospondias axillaris,1,,1,,Long cultivated fruit in Nepal,,
http://pfaf.org,Chondrilla,2,,2,,PFAF = 3,,
http://www.fruitipedia.com/,Chondrodendron,2,,2,,,,
,Ceiba,2,,2,,,,
Kapok,Ceiba acuminata,1,,1,,"Edible seed, root, fruit, flower, etc",http://www.eattheweeds.com/edible-flowers-part-seventeen/,
Silk floss tree,Ceiba speciosa,2,,2,,"Seeds for vegetable oil, cotton for stuffing",,
,Chorisia,2,syn,2,,[syn] Ceiba,,
White floss silk tree,Chorisia insignis,3,syn,3,,[syn] Ceiba insignis,,
White floss silk tree,Ceiba insignis,3,,3,,,,
Silk floss tree,Chorisia speciosa,2,syn,2,,[syn] Ceiba speciosa,,
http://pfaf.org,Chrysanthemum,2,,2,,PFAF = 3,,
Cocoplum,Chrysobalanus icaco,2,,2,,More info needed,,
Star apple,Chrysophyllum cainito,1,,1,,,,
http://pfaf.org,Chusquea,2,,2,,PFAF = 3,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Chydenanthus,2,,2,,,,
Leafflower,Cicca,2,syn,2,,[syn] Phyllanthus,,
http://pfaf.org,Cicer,2,,2,,PFAF = 3,,
https://fallingfruit.org/,Cichorium,2,,2,,,,
http://pfaf.org,Cinnamomum,2,,2,,,,
Camphor tree,Cinnamomum camphora,1,,1,,,http://www.eattheweeds.com/camphor-tree-cinnamon%E2%80%99s-smelly-cousin/,
http://pfaf.org,Cirsium,2,,2,,PFAF = 3,,
http://pfaf.org,Cistus,2,,2,,PFAF = 3,,
http://www.fruitipedia.com/,Citriobatus,2,syn,2,,[syn] Pittosporum,,
Calamondin,Citrofortunella microcarpa,1,,1,,,,
Musk lime,Citrofortunella mitis,1,,1,,,,
,Citropsis,2,,2,,,,
https://fallingfruit.org/,Citrullus,2,,2,,,,
Citrus,Citrus,1,,1,,,,
Key lime,Citrus aurantifolia,1,,1,,,,
Key lime,Citrus aurantiifolia,1,mis,1,,,,
Bitter orange,Citrus aurantium,1,,1,,,,
Pomelo,Citrus grande,1,,1,,,,
Pomelo,Citrus grandis,1,syn,1,,,,
Kumquat,Citrus japonica,1,,1,,,,
Lime,Citrus limetta,1,,1,,,,
Lemon,Citrus limon,1,,1,,,,
Musk lime,Citrus madurensis,1,syn,1,,,,
Pomelo,Citrus maxima,1,,1,,,,
Meyer lemon,Citrus meyeri,1,,1,,,,
Calamondin,Citrus microcarpa,1,syn,1,,,,
Grapefruit,Citrus paradisi,1,,1,,,,
Mandarin,Citrus reticulata,1,,1,,,,
Orange,Citrus sinensis,1,,1,,,,
Tangelo,Citrus x tangelo,1,,1,,,,
Tangerine,Citrus tangerina,1,,1,,,,
Satsuma mandarin,Citrus unshiu,1,,1,,Includes tangerine,,
Yellowwood,Cladrastis,-1,,-1,,,,
Wampee,Clausena lansium,1,,1,,"Looks like grapes, cultivated in SE Asia",,
https://fallingfruit.org/,Claytonia,2,,2,,,,
http://www.fruitipedia.com/,Cleistocalyx,2,syn,2,,[syn] Rhynchospora,,
https://fallingfruit.org/,Cnidoscolus,2,,2,,,,
Pigeon plum,Coccoloba diversifolia,2,,2,,Processed into jelly or wine,,
Sonoran sea grape,Coccoloba goldmanii,1,,2,1,,http://apps.cals.arizona.edu/arboretum/taxon.aspx?id=423,
,Coccothrinax,2,,2,,,,
,Coccothrinax argentata,2,,2,,,http://www.eattheweeds.com/cabbage-palm-sabal-palmetto/,
Old man palm,Coccothrinax crinita,3,,3,,Very rare. Edibility unconfirmed.,,
Coconut,Cocos nucifera,1,,1,,,,
http://pfaf.org,Codonopsis,2,,2,,PFAF = 3,,
,Coffea,2,,2,,,,
http://pfaf.org,Coix,2,,2,,PFAF = 3,,
http://fruitandnuttrees.com/,Cola,2,,2,,,,
http://www.fruitipedia.com/,Colpoon,2,syn,2,,[syn] Osyris,,
http://pfaf.org,Commelina,2,,2,,PFAF = 3,,
http://pfaf.org,Comptonia,2,,2,,PFAF = 3,,
http://www.desertsurvivors.org/Nursery/Plant_DB/PlantList.html,Condalia,2,,2,,,,
http://pfaf.org,Conopodium,2,,2,,PFAF = 3,,
https://fallingfruit.org/,Coprinus,2,,2,,,,
http://fruitandnuttrees.com/,Coprosma,2,,2,,,,
https://fallingfruit.org/,Corchorus,2,,2,,,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Cordeauxia,2,,2,,,,
http://www.fruitipedia.com/,Cordia,2,,2,,,,
Texas olive,Cordia boissieri,1,,1,,"Sweet fruit, made into jelly in Mexico",http://www.campperrytexas.org/plants/Botanical_eb.htm,http://apps.cals.arizona.edu/arboretum/taxon.aspx?id=80
Assyrian plum,Cordia myxa,1,,1,,Sweet fruit,http://apps.cals.arizona.edu/arboretum/taxon.aspx?id=385,
Littleleaf cordia,Cordia parvifolia,0,,0,,,http://books.google.com/books?id=tvk5FN3L-Q0C&pg=PA88&lpg=PA88&dq=%22Cordia+sonorae%22+edible&source=bl&ots=7TJhYJC__U&sig=rENBNBjB0Dpww6jv7Eq-2DyYEOg&hl=en&sa=X&ei=SCjZU_2pFKX7iwL-7YG4Cg&ved=0CCoQ6AEwAg#v=onepage&q=%22Cordia%20sonorae%22%20edible&f=false,
Palo de asta,Cordia sonorae,0,,0,,,http://books.google.com/books?id=tvk5FN3L-Q0C&pg=PA88&lpg=PA88&dq=%22Cordia+sonorae%22+edible&source=bl&ots=7TJhYJC__U&sig=rENBNBjB0Dpww6jv7Eq-2DyYEOg&hl=en&sa=X&ei=SCjZU_2pFKX7iwL-7YG4Cg&ved=0CCoQ6AEwAg#v=onepage&q=%22Cordia%20sonorae%22%20edible&f=false,
http://www.fruitipedia.com/,Cordiera,2,,2,,,,
Cabbage tree,Cordyline australis,1,,1,,"Maori staple, stems and rhyzomes rich in sugars",,
Broad-leaved palm lily,Cordyline petiolaris,2,,2,,,,
https://fallingfruit.org/,Coriander,2,,2,,,,
http://pfaf.org,Coriandrum,2,,2,,PFAF = 3,,
Dogwood,Cornella,1,syn,1,,[syn] Cornus,,
Dogwood,Cornus,1,bee,2,1,,,
Pagoda dogwood,Cornus alternifolia,1,bee,-1,1,,,
Creeping dogwood,Cornus canadensis,1,,1,1,,,
Himalayan flowering dogwood,Cornus capitata,1,,1,1,,,
Roughleaf dogwood,Cornus drummondii,1,bee,2,1,Bitter but edible,http://www.wildvision.info/SurvivalSkillsPlantFood.htm,
Flowering dogwood,Cornus florida,1,bee,-1,1,,,
Kousa dogwood,Cornus kousa,1,,1,1,,,
Cornelian cherry dogwood,Cornus mas,1,,1,1,,,
Pacific dogwood,Cornus nuttallii,1,bee,-1,1,,,
Japanese cornelian cherry,Cornus officinalis,1,,1,1,Medicinal and food plant in the orient,,
Japanese cornelian cherry dogwood,Cornus officinalis,1,,1,1,,,
Northern swamp dogwood,Cornus racemosa,1,bee,-1,1,Includes 'Snow Mantle',,
,Cornus rutgersensis ,1,bee,-1,1,,,
Hazel,Corylus,1,bee,2,1,,,
American hazel,Corylus americana,1,bee,2,1,,,
Common Hazel,Corylus avellana,1,,1,1,,,
Turkish hazel,Corylus colurna,1,,1,1,,,
Beaked hazel,Corylus cornuta,1,,1,1,,,
Filbert,Corylus maxima,1,,1,1,,,
Red flowering gum ,Corymbia ficifolia,2,bee,2,2,,,
https://fallingfruit.org/,Corynocarpus,2,,2,,,,
https://fallingfruit.org/,Corypha,2,,2,,,,
,Coryphantha,2,,2,,,,
,Escobaria,2,,2,,,,
Spinystar,Coryphantha vivipara,0,syn,0,,[syn] Escobaria vivipara,,
Spinystar,Escobaria vivipara,0,,0,,,,
Smoketree,Cotinus,-1,,-1,,,,
,Peniocereus,2,,2,,,,
,Echinocereus,2,,2,,,,
http://fruitandnuttrees.com/,Couepia,2,,2,,,,
http://fruitandnuttrees.com/,Coula,2,,2,,,,
http://www.fruitipedia.com/,Couma,2,,2,,,,
http://www.fruitipedia.com/,Coupea,2,,2,,,,
Hawthorn,Cragaegus,1,syn,1,,[syn] Crataegus,,
http://pfaf.org,Crambe,2,,2,,PFAF > 3,,
http://pfaf.org,Crataegomespilus,2,,2,,PFAF = 3,,
Hawthorn,Crataegus,1,bee,2,1,,,
Eastern May Hawthorn,Crataegus aestivalis,1,,1,1,,,
Russian hawthorn,Crataegus ambigua,1,,1,1,"Leaves edible, for tea, fruit in jams",,
Grand rapids hawthorn,Crataegus ambitiosa,1,bee,2,1,Nothing known...,,
Arnold hawthorn,Crataegus arnoldiana,1,,1,1,,,
Azarole,Crataegus azarolus,1,,1,1,,,
Cockspur Hawthorn,Crataegus crus-galli,1,bee,-1,1,,,
Cockspur Hawthorn,Crataegus crusgalli,1,syn,-1,1,,,
Black hawthorn,Crataegus douglasii,1,,1,1,,,
Scarlet hawthorn,Crataegus ellwangeriana,1,,1,1,,,
Midland hawthorn,Crataegus laevigata,1,,1,1,Not 'Crimson Cloud',,
Lavalle hawthorn,Crataegus lavallei ,1,bee,2,1,"Hybrid, quality of fruit unclear, but child of Crataegus mexicana",,
Tejocote,Crataegus mexicana,1,,1,1,Among the best hawthorn fruit,,
Missouri hawthorn,Crataegus missouriensis ,1,,1,1,,,
Downy hawthorn,Crataegus mollis,1,,1,1,,,
Common hawthorn,Crataegus monogyna,1,,1,1,,,
Western May Hawthorn,Crataegus opaca,1,,1,1,,,
Hawthorn,Crataegus oxyacantha,1,,1,1,Either C. laevigata or monogyna,,
Pennsylvania hawthorn,Crataegus pensylvanica ,1,,1,1,,,
Washington Hawthorn,Crataegus phaenopyrum,1,bee,2,1,Not historically used as food source?,,
Chinese hawthorn,Crataegus pinnatifida,1,,1,1,,,
Tansy-leaved Thorn,Crataegus tanacetifolia,1,,1,1,,,
Green hawthorn,Crataegus viridis,1,bee,-1,1,,,
http://www.fruitipedia.com/,Crataeva,2,syn,2,,[syn] Crateva,,
http://www.fruitipedia.com/,Crateva,2,,2,,,,
Calabash,Crescentia,2,,2,,,,
Mexican calabash,Crescentia alata,1,,1,,Edible seeds and pulp,http://en.wikipedia.org/wiki/Crescentia_alata,
https://fallingfruit.org/,Crithmum,2,,2,,,,
https://fallingfruit.org/,Crocus,2,,2,,,,
http://www.fruitipedia.com/,Crossopetalum,2,,2,,,,
Maidenberry,Crossopetalum rhacoma,1,,1,,,,
http://www.fruitipedia.com/,Cryptocarya,2,,2,,,,
Japanese-fir,Cryptomeria,-1,,-1,,Cryptomeria japonica,,
http://pfaf.org,Cryptotaenia,2,,2,,PFAF > 3,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Cubilia,2,,2,,,,
http://fruitandnuttrees.com/,Cucumis,2,,2,,,,
https://fallingfruit.org/,Cucurbita,2,,2,,,,
Coyote melon,Cucurbita palmata,-1,,-1,,,,
Che,Cudrania tricuspidata,1,syn,1,,[syn] Maclura tricuspidata,,
http://pfaf.org,Cuminum,2,,2,,PFAF = 3,,
China-fir,Cunninghamia,-1,,-1,,One or two species only.,,
,Cupania,2,,2,,,,
Cypress,Cupressus,-1,,-1,,,,
Arizona cypress,Cupressus arizonica,-1,,-1,,,,
Leyland cypress,Cupressus leylandii,-1,,-1,,,,
Turmeric,Curcuma longa,1,,1,,,,
Coast canthium,Cyclophyllum coprosmoides,2,,2,,Small edible drupes,,
Quince,Cydonia oblonga,1,,1,,,,
Lemongrass,Cymbopogon,2,,2,,,,
http://pfaf.org,Cymopterus,2,,2,,PFAF > 3,,
https://fallingfruit.org/,Cynara,2,,2,,,,
http://www.fruitipedia.com/,Cynometra,2,,2,,,,
https://fallingfruit.org/,Cyperaceae,2,,2,,,,
http://pfaf.org,Cyperus,2,,2,,PFAF > 3,,
Tamarillo,Cyphomandra betacea,1,syn,1,,,,
http://pfaf.org,Cytisus,2,,2,,PFAF = 3,,
,Dacrycarpus,2,,2,,,,
,Dacrydium,2,,2,,,,
http://www.fruitipedia.com/,Dacryodes,2,,2,,,,
http://pfaf.org,Dalea,2,,2,,PFAF = 3,,
Jimson weed,Datura stramonium,-1,,-1,,Poisonous,,
https://fallingfruit.org/,Daucus,2,,2,,,,
Davidsons plum,Davidsonia pruriens,1,,1,,"Sour fruit used for jams, etc",,
http://www.fruitipedia.com/,Debregeasia,2,,2,,,,
http://www.fruitipedia.com/,Decachaena,2,,2,,,,
Huckleberry,Decaisnea,1,syn,1,,[syn] Gaylussacia,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Deinbollia,2,,2,,,,
http://pfaf.org,Dentaria,2,,2,,PFAF > 3,,
Texas mountain laurel,Dermatophyllum secundiflorum,-1,,-1,,"Highly poisonous, but peyote substitute. Hmm",http://en.wikipedia.org/wiki/Texas_Mountain_Laurel,
http://pfaf.org,Desmanthus,2,,2,,PFAF > 3,,
http://www.fruitipedia.com/,Detarium,2,,2,,,,
Sherbet tree,Dialium schlechteri,2,,2,,Very little information,,
http://fruitandnuttrees.com/,Dianella,2,,2,,,,
,Dicella,2,,2,,,,
http://pfaf.org,Dichelostemma,2,,2,,PFAF > 3,,
http://pfaf.org,Dichopogon,2,,2,,PFAF = 3,,
https://fallingfruit.org/,Dictamnus,2,,2,,,,
http://www.fruitipedia.com/,Dillenia,2,,2,,,,
Longan,Dimocarpus longan,1,,1,,,,
https://fallingfruit.org/,Dioscorea,2,,2,,,,
,Diospyros,2,,2,,,,
Persimmon,Diospyros,1,msp,1,,,,
Mabolo,Diospyros blancoi,1,,1,,,,
Black Sapote,Diospyros digyna,1,,1,,,,
,Diospyros duclouxii,2,,2,,"Fruits, but unknown edibility",,
Japanese Persimmon,Diospyros kaki,1,,1,,,,
Date-plum,Diospyros lotus,1,,1,,,,
Indian Persimmon,Diospyros peregrina,1,,1,,,,
Texas persimmon,Diospyros texana,1,,1,,,,
American Persimmon,Diospyros virginiana,1,,1,,,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Diplodiscus,2,,2,,,,
Native tamarind,Diploglottis cunninghamii,1,,1,,"Aril edible raw, used in jams and chutneys",,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Diploknema,2,,2,,,,
https://fallingfruit.org/,Diplotaxis,2,,2,,,,
http://www.fruitipedia.com/,Dipteryx,2,,2,,,,
http://www.fruitipedia.com/,Docynia,2,,2,,,,
,Dovyalis,1,,1,,,,
Kei apple,Dovyalis caffra,1,,1,,,,
Ketembilla,Dovyalis hebecarpa,1,,1,,"very juicy berry, acidic, similar to gooseberry",,
http://pfaf.org,Drimys,2,,2,,PFAF = 3,,
http://pfaf.org,Dudleya,2,,2,,PFAF = 3,,
http://www.fruitipedia.com/,Duguetia,2,,2,,,,
Durian,Durio,1,,1,,,,
https://fallingfruit.org/,Dysphania,2,,2,,,,
Texas ebony,Ebenopsis ebano,2,,2,,Seeds eaten in Mexico,http://apps.cals.arizona.edu/arboretum/taxon.aspx?id=218,
https://fallingfruit.org/,Echinacea,2,,2,,,,
http://pfaf.org,Echinochloa,2,,2,,PFAF = 3,,
https://fallingfruit.org/,Echinops,2,,2,,,,
Easter lily cactus,Echinopsis multiplex,0,,0,,,,
Cardon grande,Echinopsis terscheckii,-1,,-1,,Contains mescaline...,,
https://fallingfruit.org/,Echium,2,,2,,,,
Anacua,Ehretia anacua,2,,2,,Jelly from the fruit,http://apps.cals.arizona.edu/arboretum/taxon.aspx?id=375,
Bastard cherry,Ehretia tinifolia,2,,2,,Edible seeds,http://apps.cals.arizona.edu/arboretum/taxon.aspx?id=614,
Silverberry,Elaeagnus,1,,1,,,,
Russian-olive,Elaeagnus angustifolia,1,,1,,,,
Autumn-olive,Elaeagnus umbellata,1,,1,,,,
African oil palm,Elaeis guineensis,1,,1,,Primary source of palm oil,,
American oil palm,Elaeis oleifera,1,,1,,,,
Blue marble tree,Elaeocarpus angustifolius,2,,2,,Also Blue Quandong,,
Japanese blueberry tree,Elaeocarpus decipiens,-1,,-1,,Fruit insipid?,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Elateriospermum,2,,2,,,,
Silverberry,Eleagnus,1,mis,1,,,,
http://pfaf.org,Eleocharis,2,,2,,PFAF = 3,,
http://pfaf.org,Eleusine,2,,2,,PFAF = 3,,
http://pfaf.org,Eleutherococcus,2,,2,,PFAF = 3,,
Leafflower,Emblica,2,syn,2,,[syn] Phyllanthus,,
,Emblica,2,syn,2,,[syn] Pyllanthus,,
Crowberry,Empetrum,2,,2,,,,
http://fruitandnuttrees.com/,Enchylaena,2,,2,,,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Endiandra,2,,2,,,,
http://www.fruitipedia.com/,Endopleura,2,,2,,,,
http://www.fruitipedia.com/,Englerophytum,2,,2,,,,
http://pfaf.org,Ephedra,2,,2,,PFAF = 3,,
http://pfaf.org,Epilobium,2,,2,,PFAF = 3,,
http://www.fruitipedia.com/,Epiphyllum,2,,2,,,,
http://pfaf.org,Eragrostis,2,,2,,PFAF = 3,,
Bronze loquat,Eriobotrya deflexa,-1,,-1,,,,
Loquat,Eriobotrya japonica,1,,1,,,,
Common loquat,Eriobotrya japonica,1,cyn,1,,,,
http://pfaf.org,Eriodictyon,2,,2,,PFAF = 3,,
https://fallingfruit.org/,Eriophyllum,2,,2,,,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Erisma,2,,2,,,,
http://pfaf.org,Erodium,2,,2,,PFAF = 3,,
http://pfaf.org,Eruca,2,,2,,PFAF = 3,,
http://pfaf.org,Eryngium,2,,2,,PFAF = 3,,
http://pfaf.org,Erythronium,2,,2,,PFAF > 3,,
http://www.fao.org/docrep/v8929e/v8929e08.htm,Eschweilera,2,,2,,,,
,Escobaria missouriensis,1,,1,,,http://montana.plant-life.org/species/esco_miss.htm,
Eucalyptus,Eucalyptus,2,,2,,,,
Cabbage gum ,Eucalyptus amplifolia,2,bee,3,2,,,
Southern mahogany ,Eucalyptus botryoides,2,bee,3,2,,,
Gungurru,Eucalyptus caesia,2,,2,2,,,
River red gum,Eucalyptus camaldulensis,1,bee,0,1,,http://en.wikipedia.org/wiki/List_of_honey_plants,
Silver-topped gimlet,Eucalyptus campaspe,1,bee,3,1,,,
Argyle apple,Eucalyptus cinerea,2,bee,3,2,,,
Lemon-scented gum ,Eucalyptus citriodora,1,bee,3,1,,,
Sugar gum ,Eucalyptus cladocalyx,2,bee,2,2,,,
Red-flowered mallee,Eucalyptus erythronema,1,bee,3,1,,,
Red flowering gum ,Eucalyptus ficifolia,2,bee,3,2,[syn] Corymbia ficifolia,,
Curly mallee,Eucalyptus gillii,2,bee,3,2,,,
Tasmanian blue gum,Eucalyptus globulus,1,bee,2,1,Essential oil,http://en.wikipedia.org/wiki/Eucalyptus_oil,
Cider Gum,Eucalyptus gunnii,1,,1,1,,,
Bushy yate ,Eucalyptus lehmannii,2,bee,2,2,,,
Yellow gum,Eucalyptus leucoxylon,2,bee,2,2,Essential oil,http://en.wikipedia.org/wiki/Eucalyptus_oil,
Jarrah,Eucalyptus marginata,1,bee,3,1,,,
Yellow box,Eucalyptus melliodora,1,bee,2,1,,,
Coolibah,Eucalyptus microtheca,1,bee,2,1,,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=8&cad=rja&uact=8&ved=0CDsQFjAH&url=http%3A%2F%2Fwww.cottoncrc.org.au%2Findustry%2FTools%2FBee_Alert%2FBee_Aware_of_Honeybees&ei=iZjYU-THBMSPyASix4GwDw&usg=AFQjCNEN8fa2EGpcPgjE_ZyDmhPPEjZHfg&sig2=daGPp8WYaWQKNPPSa1GUNg,http://tropical.theferns.info/viewtropical.php?id=Eucalyptus+microtheca
Narrow-leaved black peppermint,Eucalyptus nicholii,2,bee,3,2,,,
Ghost gum,Eucalyptus papuana,2,syn,2,2,[syn] Corymbia papuana,,
Ghost gum,Corymbia papuana,2,bee,2,2,,http://tropical.theferns.info/viewtropical.php?id=Corymbia+papuana,
Silver dollar gum ,Eucalyptus polyanthemos,2,bee,3,2,,,
Poplar box,Eucalyptus populnea,3,,3,0,,,
Swamp mahogony ,Eucalyptus robusta,2,bee,0,2,,http://tropical.theferns.info/viewtropical.php?id=Eucalyptus+robusta,
Flooded gum,Eucalyptus rudis,2,bee,3,2,,,
Salmon gum,Eucalyptus salmonophloia,2,bee,3,2,,,
Salt river gum,Eucalyptus sargentii,2,bee,3,2,,,
Mugga ironbark,Eucalyptus sideroxylon,2,bee,0,2,Essential oil,http://en.wikipedia.org/wiki/Eucalyptus_oil,
Swamp mallet,Eucalyptus spathulata,2,bee,3,2,,,
Coral gum,Eucalyptus torquata,1,bee,3,1,,,
Manna Gum,Eucalyptus viminalis,1,,1,1,,http://tropical.theferns.info/viewtropical.php?id=Eucalyptus+viminalis,
,Eucommia,-1,,-1,,Eucommia ulmoides,,
Magenta lilly pilly,Eugenia paniculata,1,,1,,,,
Cedar bay cherry,Eugenia reinwardtiana,1,,1,,,,
Pitanga,Eugenia uniflora,1,,1,,Surinam cherry. Base for jams and jellies,,
,Euonymus,-1,,-1,,"Medicinal uses, but poisonous",,
Eastern wahoo,Euonymus atropurpureus,-1,,-1,,Poisonous,,
https://fallingfruit.org/,Eupatorium,2,,2,,,,
http://www.fruitipedia.com/,Euphorbia,2,,2,,,,
,Euphoria,2,syn,2,,[syn] Dimocarpus,,
Bolwarra,Eupomatia laurina,1,,1,,"Sweet, aromatic fruit",,
http://pfaf.org,Euryale,2,,2,,PFAF = 3,,
http://fruitandnuttrees.com/,Eustrephus,2,,2,,,,
,Euterpe,2,,2,,Palm,,
