locale,variant,ISO639.1,ISO639.2T,ISO639.2B,ISO639.3,ISO639.6,wikipedia,other,autonym,en,fr,de,ru,es,it,zh,ISO639.3_macro,scope,type,family,retired,wikipedia_url,notes
,,,,,phk,,,,,phake,,,,,,,,individual,living,,FALSE,,
,,,,,phl,,,,,"phalura, palula",,,,,,,,individual,living,,FALSE,,
,,,,,phm,,,,,phimbi,,,,,,,,individual,living,,FALSE,,
,,,,,pho,,,,,phunoi,,,,,,,,individual,living,,FALSE,,
,,,,,phq,,,,,phana',,,,,,,,individual,living,,FALSE,,
,,,,,phr,,,,,pahari-potwari,,,,,,,lah,individual,living,,FALSE,,
,,,,,pht,,,,,phu thai,,,,,,孚泰语,,individual,living,,FALSE,,
,,,,,phu,,,,,phuan,,,,,,,,individual,living,,FALSE,,
,,,,,phv,,,,,pahlavani,,,,,,,,individual,living,,FALSE,,
,,,,,phw,,,,,phangduwali,,,,,,,,individual,living,,FALSE,,
,,,,,pia,,,,,pima bajo,pima,,,pima bajo,,,,individual,living,,FALSE,,
,,,,,pib,,,,,yine,,,,,,,,individual,living,,FALSE,,
,,,,,pic,,,,,pinji,,,,,,,,individual,living,,FALSE,,
,,,,,pid,,,,,piaroa,,,,,,,,individual,living,,FALSE,,
,,,,,pie,,,,,piro,,,,piro,,,,individual,extinct,,FALSE,,
,,,,,pif,,,,,pingelapese,,,,,,,,individual,living,,FALSE,,
,,,,,pig,,,,,pisabo,,,,pisabo,,,,individual,living,,FALSE,,
,,,,,pih,,pih,,norfuk,"pitcairn-norfolk, norfolk",,,,,,皮特凯恩-诺福克语,,individual,living,,FALSE,,
,,,,,pii,,,,,pini,,,,,,,,individual,living,,FALSE,,
,,,,,pij,,,,,pijao,,,,,,,,individual,extinct,,FALSE,,
,,,,,pil,,,,,yom,,,,,,,,individual,living,,FALSE,,
,,,,,pim,,,,,powhatan,powhatan,,,,,,,individual,extinct,,FALSE,,
,,,,,pin,,,,,piame,,,,,,,,individual,living,,FALSE,,
,,,,,pio,,,,,piapoco,,,,,,,,individual,living,,FALSE,,
,,,,,pip,,,,,pero,,,,,,,,individual,living,,FALSE,,
,,,,,pir,,,,,piratapuyo,,,,piratapuyo,,,,individual,living,,FALSE,,
,,,,,pis,,,,,pijin,,,,,,,,individual,living,,FALSE,,
,,,,,pit,,,,,pitta pitta,,,,,,,,individual,extinct,,FALSE,,
,,,,,piu,,,,,pintupi-luritja,,,,,,,,individual,living,,FALSE,,
,,,,,piv,,,,,"pileni, vaeakau-taumako",,,,,,,,individual,living,,FALSE,,
,,,,,piw,,,,,pimbwe,,,,,,,,individual,living,,FALSE,,
,,,,,pix,,,,,piu,,,,,,,,individual,living,,FALSE,,
,,,,,piy,,,,,piya-kwonci,,,,,,,,individual,living,,FALSE,,
,,,,,piz,,,,,pije,,,,,,,,individual,living,,FALSE,,
,,,,,pjt,,,,,pitjantjatjara,,,,pityantyatyara,,,,individual,living,,FALSE,,
,,,,,pka,,,,,ardhamāgadhī prākrit,,,,,,,,individual,historical,,FALSE,,
,,,,,pkb,,,,,"pokomo, kipfokomo, upper pokomo",,,,,,,,individual,living,,FALSE,,
,,,,,pkc,,,,,paekche,,,,,,,,individual,extinct,,FALSE,,
,,,,,pkg,,,,,pak-tong,,,,,,,,individual,living,,FALSE,,
,,,,,pkh,,,,,pankhu,,,,,,,,individual,living,,FALSE,,
,,,,,pkn,,,,,pakanha,,,,,,,,individual,living,,FALSE,,
,,,,,pko,,,,,pökoot,,,,,,,kln,individual,living,,FALSE,,
,,,,,pkp,,,,,pukapuka,,pukapuka,,,,,,individual,living,,FALSE,,
,,,,,pkr,,,,,attapady kurumba,,,,,,,,individual,living,,FALSE,,
,,,,,pks,,,,,pakistan sign language,,,,,,巴基斯坦手语,,individual,living,,FALSE,,
,,,,,pkt,,,,,maleng,,,,,,,,individual,living,,FALSE,,
,,,,,pku,,,,,paku,,,,,,,,individual,living,,FALSE,,
,,,,,pla,,,,,miani,,,,,,,,individual,living,,FALSE,,
,,,,,plb,,,,,polonombauk,,,,,,,,individual,living,,FALSE,,
,,,,,plc,,,,,central palawano,,,,,,,,individual,living,,FALSE,,
,,,,,pld,,,,,polari,,,,,,,,individual,living,,FALSE,,
,,,,,ple,,,,,palu'e,,,,,,,,individual,living,,FALSE,,
,,,,,plg,,,,,pilagá,,,,,,,,individual,living,,FALSE,,
,,,,,plh,,,,,paulohi,,paulohi,,,,,,individual,living,,FALSE,,
,,,,,plj,,,,,polci,,,,,,,,individual,living,,FALSE,,
,,,,,plk,,,,,kohistani shina,,,,,,,,individual,living,,FALSE,,
,,,,,pll,,,,,shwe palaung,,,,,,德昂语,,individual,living,,FALSE,,
,,,,,pln,,,,,palenquero,,,,,,,,individual,living,,FALSE,,
,,,,,plo,,,,,oluta popoluca,,,,popoluca de oluta,,,,individual,living,,FALSE,,
,,,,,plp,,,,,palpa,,,,,,,,individual,living,,FALSE,,
,,,,,plq,,,,,palaic,,,палайский,,,,,individual,ancient,,FALSE,,
,,,,,plr,,,,,palaka senoufo,,,,,,,,individual,living,,FALSE,,
,,,,,pls,,,,,"san marcos tlacoyalco popoloca, san marcos tlalcoyalco popoloca",,,,,,,,individual,living,,FALSE,,
,,,,,plt,,,,,plateau malagasy,,,,,,,mlg,individual,living,,FALSE,,
,,,,,plu,,,,,palikúr,,,,,,,,individual,living,,FALSE,,
,,,,,plv,,,,,southwest palawano,,,,,,,,individual,living,,FALSE,,
,,,,,plw,,,,,brooke's point palawano,,brooke's point palawano,брук'с пойнт палавано,,,,,individual,living,,FALSE,,
,,,,,ply,,,,,bolyu,,,,,,俫语,,individual,living,,FALSE,,
,,,,,plz,,,,,paluan,,,,,,,,individual,living,,FALSE,,
,,,,,pma,,,,,paama,,,,,,,,individual,living,,FALSE,,
,,,,,pmb,,,,,pambia,,,,,,,,individual,living,,FALSE,,
,,,,,pmc,,,,,palumata,,,,,,,,individual,extinct,,FALSE,,
,,,,,pmd,,,,,pallanganmiddang,,,,,,,,individual,extinct,,FALSE,,
,,,,,pme,,,,,pwaamei,,,,,,,,individual,living,,FALSE,,
,,,,,pmf,,,,,pamona,,,,,,,,individual,living,,FALSE,,
,,,,,pmh,,,,,māhārāṣṭri prākrit,,,,,,,,individual,historical,,FALSE,,
,,,,,pmi,,,,,northern pumi,,,,,,北普米语,,individual,living,,FALSE,,
,,,,,pmj,,,,,southern pumi,,,,,,南普米语,,individual,living,,FALSE,,
,,,,,pmk,,,,,pamlico,pamlico,,,,,,,individual,extinct,,FALSE,,
,,,,,pml,,,,,lingua franca,,,,,,,,individual,extinct,,FALSE,,
,,,,,pmm,,,,,pomo,,,,,,,,individual,living,,FALSE,,
,,,,,pmn,,,,,pam,,,,,,,,individual,living,,FALSE,,
,,,,,pmo,,,,,pom,,,,,,,,individual,living,,FALSE,,
,,,,,pmq,,,,,northern pame,,,,,,,,individual,living,,FALSE,,
,,,,,pmr,,,,,paynamar,,,,,,,,individual,living,,FALSE,,
,,,,,pms,,pms,,piemontèis,"piemontese, piedmontese",piémontais,piemontisch,пьемонтский,piamontés,,皮埃蒙特语,,individual,living,,FALSE,,
,,,,,pmt,,,,,tuamotuan,tuamotuan,tuamotuanisch,туамотуан,,,土阿莫土语,,individual,living,,FALSE,,
,,,,,pmu,,,,,mirpur panjabi,,,,,,,lah,individual,living,,FALSE,,
,,,,,pmw,,,,,plains miwok,,,,,,,,individual,living,,FALSE,,
,,,,,pmx,,,,,poumei naga,,,,,,,,individual,living,,FALSE,,
,,,,,pmy,,,,,papuan malay,,,,,,,,individual,living,,FALSE,,
,,,,,pmz,,,,,southern pame,,süd-paamesisch,,,,,,individual,extinct,,FALSE,,
,,,,,pna,,,,,punan bah-biau,,,,,,,,individual,living,,FALSE,,
,,,,,pnb,,pnb,,"شاہ مکھی پنجابی, shāhmukhī pañjābī","western panjabi, western punjabi",,,,,,西旁遮普语,lah,individual,living,,FALSE,,
,,,,,pnc,,,,,pannei,,,,,,,,individual,living,,FALSE,,
,,,,,pne,,,,,western penan,,,,,,,,individual,living,,FALSE,,
,,,,,png,,,,,pongu,,,,,,,,individual,living,,FALSE,,
,,,,,pnh,,,,,penrhyn,,penrhyn,,,,,,individual,living,,FALSE,,
,,,,,pni,,,,,aoheng,,,,,,,,individual,living,,FALSE,,
,,,,,pnj,,,,,pinjarup,,,,,,,,individual,extinct,,FALSE,,
,,,,,pnk,,,,,paunaka,,,,,,,,individual,living,,FALSE,,
,,,,,pnl,,,,,paleni,,,,,,,,individual,living,,,,
,,,,,pnm,,,,,punan batu,,,,,,,,individual,living,,FALSE,,
,,,,,pnn,,,,,pinai-hagahai,,,,,,,,individual,living,,FALSE,,
,,,,,pno,,,,,panobo,,,,panobo,,,,individual,extinct,,FALSE,,
,,,,,pnp,,,,,pancana,,,,,,,,individual,living,,FALSE,,
,,,,,pnq,,,,,pana (burkina faso),,,,,,,,individual,living,,FALSE,,
,,,,,pnr,,,,,panim,,,,,,,,individual,living,,FALSE,,
,,,,,pns,,,,,ponosakan,,,,,,,,individual,living,,FALSE,,
,,,,,pnt,,pnt,,ποντιακά,pontic,pontique,pontisch,понтийский,póntico,,旁狄希腊语,,individual,living,,FALSE,,
,,,,,pnu,,,,,jiongnai bunu,,,,,,炯奈布努语,,individual,living,,FALSE,,
,,,,,pnv,,,,,pinigura,,,,,,,,individual,living,,FALSE,,
,,,,,pnw,,,,,panytyima,,,,,,,,individual,living,,FALSE,,
,,,,,pnx,,,,,phong-kniang,,,,,,,,individual,living,,FALSE,,
,,,,,pny,,,,,pinyin,,,,,,,,individual,living,,FALSE,,
,,,,,pnz,,,,,pana (central african republic),,,,,,,,individual,living,,FALSE,,
,,,,,poa,,,,,eastern pokomam,,,,,,,,individual,living,,TRUE,,
,,,,,pob,,,,,western pokomchí,,,,,,,,individual,living,,TRUE,,
,,,,,poc,,,,,"poqomam, central pokomam",,,,pokomam central,,,,individual,living,,FALSE,,
,,,,,pod,,,,,ponares,,,,,,,,individual,extinct,,FALSE,,
,,,,,poe,,,,,san juan atzingo popoloca,,,,,,,,individual,living,,FALSE,,
,,,,,pof,,,,,poke,,,,,,,,individual,living,,FALSE,,
,,,,,pog,,,,,potiguára,,,,potiguára,,,,individual,extinct,,FALSE,,
,,,,,poh,,,,,"poqomchi', eastern pokomchí",,,,,,,,individual,living,,FALSE,,
,,,,,poi,,,,,highland popoluca,,,,,,,,individual,living,,FALSE,,
,,,,,pok,,,,,pokangá,,,,pokangá,,,,individual,living,,FALSE,,
,,,,,pom,,,,,southeastern pomo,,,,,,,,individual,living,,FALSE,,
,,,,,poo,,,,,central pomo,,,,,,,,individual,living,,FALSE,,
,,,,,pop,,,,,"pwapwâ, pwapwa",,,,,,,,individual,living,,FALSE,,
,,,,,poq,,,,,texistepec popoluca,,,,popoluca de texistepec,,,,individual,living,,FALSE,,
,,,,,pos,,,,,sayula popoluca,,,,popoluca de sayula,,,,individual,living,,FALSE,,
,,,,,pot,,,,neshnabémwen (bodéwadmimwen),potawatomi,potawatomi,,,potawatomi,,,,individual,living,,FALSE,,
,,,,,pou,,,,,southern pokomam,,,,,,,,individual,living,,TRUE,,
,,,,,pov,,,,,upper guinea crioulo,,,,,,,,individual,living,,FALSE,,
,,,,,pow,,,,,san felipe otlaltepec popoloca,,,,,,,,individual,living,,FALSE,,
,,,,,pox,,,,,polabian,polabe,polabisch,полабский,,,波拉布语,,individual,extinct,,FALSE,,
,,,,,poy,,,,,pogolo,,,,,,,,individual,living,,FALSE,,
,,,,,ppa,,,,,pao,,,,,,,,individual,living,,FALSE,,
,,,,,ppe,,,,,papi,,,,,,,,individual,living,,FALSE,,
,,,,,ppi,,,,aka'ala,paipai,,,,paipai,,,,individual,living,,FALSE,,
,,,,,ppk,,,,,uma,,,,,,,,individual,living,,FALSE,,
,,,,,ppl,,,,,"pipil, nicarao",,,,,,,,individual,living,,FALSE,,
,,,,,ppm,,,,,papuma,,,,,,,,individual,living,,FALSE,,
,,,,,ppn,,,,,papapana,,,,,,,,individual,living,,FALSE,,
,,,,,ppo,,,,,folopa,,,,,,,,individual,living,,FALSE,,
,,,,,ppp,,,,,pelende,,,,,,,,individual,living,,FALSE,,
,,,,,ppq,,,,,pei,,,,,,,,individual,living,,FALSE,,
,,,,,ppr,,,,,piru,,,,,,,,individual,living,,TRUE,,
,,,,,pps,,,,,san luís temalacayuca popoloca,,,,,,,,individual,living,,FALSE,,
,,,,,ppt,,,,,pare,,,,,,,,individual,living,,FALSE,,
,,,,,ppu,,,,,papora,,,,,,"巴布拉语, 洪雅语",,individual,extinct,,FALSE,,
,,,,,ppv,,,,,papavô,,,,,,,,individual,living,,TRUE,,
,,,,,pqa,,,,,pa'a,,,,,,,,individual,living,,FALSE,,
,,,,,pqm,,,,peskotomuhkati,malecite-passamaquoddy,malécite,,,,,,,individual,living,,FALSE,,
,,,,,prb,,,,,lua',,,,,,,,individual,living,,FALSE,,
,,,,,prc,,,,,parachi,,,,,,,,individual,living,,FALSE,,
,,,,,prd,,,,(فارسی (دری,"parsi-dari, dari (persian)",,,,,,,,individual,living,,FALSE,,
,,,,,pre,,,,,principense,,,,,,,,individual,living,,FALSE,,
,,,,,prf,,,,,paranan,,,,,,,,individual,living,,FALSE,,
,,,,,prg,,,,prūsiska,prussian,(vieux) prussien,(alt-)preußisch,(древне)прусский,prusiano (antiguo),,普鲁士语,,individual,living,,FALSE,,
,,,,,prh,,,,,porohanon,,,,,,,,individual,living,,FALSE,,
,,,,,pri,,,,,paicî,,,,,,,,individual,living,,FALSE,,
,,,,,prk,,,,,parauk,,,,,,,,individual,living,,FALSE,,
,,,,,prl,,,,,peruvian sign language,,peruanische zeichensprache,,,,秘鲁手语,,individual,living,,FALSE,,
,,,,,prm,,,,,kibiri,,,,,,,,individual,living,,FALSE,,
,,,,,prn,,,,,prasuni,,,,,,,,individual,living,,FALSE,,
,,,,,prp,,,,,"parsi, parsee",,,,,,,,individual,living,,FALSE,,
,,,,,prq,,,,,ashéninka perené,,,,,,,,individual,living,,FALSE,,
,,,,,prr,,,,,puri,,,,,,,,individual,extinct,,FALSE,,
,,,,,prs,,,,(فارسی (دری,"dari, afghan persian, persian (dari)",,persisch (dari),,,,东波斯语,fas,individual,living,,FALSE,,
,,,,,prt,,,,,phai,,,,,,,,individual,living,,FALSE,,
,,,,,pru,,,,,puragi,,,,,,,,individual,living,,FALSE,,
,,,,,prw,,,,,parawen,,,,,,,,individual,living,,FALSE,,
,,,,,prx,,,,,purik,,,,,,,,individual,living,,FALSE,,
,,,,,pry,,,,,pray 3,,,,,,,,individual,living,,FALSE,,
,,,,,prz,,,,,providencia sign language,,,,,,普罗维登西亚手语,,individual,living,,FALSE,,
,,,,,psa,,,,,asue awyu,,,,,,,,individual,living,,FALSE,,
,,,,,psc,,,,,persian sign language,,,,,,波斯手语,,individual,living,,FALSE,,
,,,,,psd,,,,,plains indian sign language,,,,,,大平原印地安手语,,individual,living,,FALSE,,
,,,,,pse,,,,,central malay,,,,,,中马来语,msa,individual,living,,FALSE,,
,,,,,psg,,,,,penang sign language,,,,,,槟城手语,,individual,living,,FALSE,,
,,,,,psh,,,,,"southwest pashai, southwest pashayi",,,,,,,,individual,living,,FALSE,,
,,,,,psi,,,,,"southeast pashai, southeast pashayi",,,,,,,,individual,living,,FALSE,,
,,,,,psl,,,,,puerto rican sign language,,,,,,波多黎各手语,,individual,living,,FALSE,,
,,,,,psm,,,,,pauserna,,,,pauserna,,,,individual,extinct,,FALSE,,
,,,,,psn,,,,,panasuan,,,,,,,,individual,living,,FALSE,,
,,,,,pso,,,,,polish sign language,,,,,,波兰手语,,individual,living,,FALSE,,
,,,,,psp,,,,,philippine sign language,,,,,,菲律宾手语,,individual,living,,FALSE,,
,,,,,psq,,,,,pasi,,,,,,,,individual,living,,FALSE,,
,,,,,psr,,,,,portuguese sign language,,,,,,葡萄牙手语,,individual,living,,FALSE,,
,,,,,pss,,,,,kaulong,,,,,,,,individual,living,,FALSE,,
,,,,,pst,,,,,central pashto,,,,,,中普什图语,pus,individual,living,,FALSE,,
,,,,,psu,,,,,sauraseni prākrit,,,,,,,,individual,historical,,FALSE,,
,,,,,psw,,,,,port sandwich,,,,,,,,individual,living,,FALSE,,
,,,,,psy,,,,,piscataway,,,,,,,,individual,extinct,,FALSE,,
,,,,,pta,,,,,pai tavytera,,,,pai tavytera,,,,individual,living,,FALSE,,
,,,,,pth,,,,,"pataxó hã-ha-hãe, pataxó-hãhaãi",,,,,,,,individual,extinct,,FALSE,,
,,,,,pti,,,,,pintiini,,,,,,,,individual,living,,FALSE,,
,,,,,ptn,,,,,patani,,,,,,,,individual,living,,FALSE,,
,,,,,pto,,,,,zo'é,,,,zo'é,,,,individual,living,,FALSE,,
,,,,,ptp,,,,,patep,,,,,,,,individual,living,,FALSE,,
,,,,,ptq,,,,,pattapu,,,,,,,,individual,living,,,,
,,,,,ptr,,,,,piamatsina,,,,,,,,individual,living,,FALSE,,
,,,,,ptt,,,,,enrekang,,,,,,,,individual,living,,FALSE,,
,,,,,ptu,,,,,bambam,,,,,,,,individual,living,,FALSE,,
,,,,,ptv,,,,,port vato,,,,,,,,individual,living,,FALSE,,
,,,,,ptw,,,,,pentlatch,,,,,,,,individual,extinct,,FALSE,,
,,,,,pty,,,,,pathiya,,,,,,,,individual,living,,FALSE,,
,,,,,pua,,,,,western highland purepecha,,,,,,,,individual,living,,FALSE,,
,,,,,pub,,,,,purum,,,,,,,,individual,living,,FALSE,,
,,,,,puc,,,,,punan merap,,,,,,,,individual,living,,FALSE,,
,,,,,pud,,,,,punan aput,,,,,,,,individual,living,,FALSE,,
,,,,,pue,,,,,puelche,,,,,,,,individual,extinct,,FALSE,,
,,,,,puf,,,,,punan merah,,,,,,,,individual,living,,FALSE,,
,,,,,pug,,,,,phuie,,,,,,,,individual,living,,FALSE,,
,,,,,pui,,,,,puinave,,,,puinave,,,,individual,living,,FALSE,,
,,,,,puj,,,,,punan tubu,,,,,,,,individual,living,,FALSE,,
,,,,,puk,,,,,pu ko,,,,,,普格语,,individual,living,,FALSE,,
,,,,,pum,,,,,puma,,,,,,,,individual,living,,FALSE,,
,,,,,puo,,,,,puoc,,,,,,,,individual,living,,FALSE,,
,,,,,pup,,,,,pulabu,,,,,,,,individual,living,,FALSE,,
,,,,,puq,,,,,puquina,,,,,,,,individual,extinct,,FALSE,,
,,,,,pur,,,,,puruborá,,,,puruborá,,,,individual,living,,FALSE,,
,,,,,put,,,,,putoh,,,,,,,,individual,living,,FALSE,,
,,,,,puu,,,,,punu,,,,,,,,individual,living,,FALSE,,
,,,,,puw,,,,,puluwatese,,,,,,,,individual,living,,FALSE,,
,,,,,pux,,,,,"puare, puari",,,,,,,,individual,living,,FALSE,,
,,,,,puy,,,,,purisimeño,,,,,,,,individual,extinct,,FALSE,,
,,,,,puz,,,,,purum naga,,,,,,,,individual,living,,FALSE,,
,,,,,pwa,,,,,pawaia,,,,,,,,individual,living,,FALSE,,
,,,,,pwb,,,,,panawa,,,,,,,,individual,living,,FALSE,,
,,,,,pwg,,,,,gapapaiwa,,gapapaiwa,гапапайва,,,,,individual,living,,FALSE,,
,,,,,pwi,,,,,patwin,,,,,,,,individual,extinct,,FALSE,,
,,,,,pwm,,,,,molbog,,,,,,,,individual,living,,FALSE,,
,,,,,pwn,,,,,paiwan,,,,,,排湾语,,individual,living,,FALSE,,
,,,,,pwo,,,,,pwo western karen,,,,,,,,individual,living,,FALSE,,
,,,,,pwr,,,,,powari,,,,,,,,individual,living,,FALSE,,
,,,,,pww,,,,,pwo northern karen,,,,,,,,individual,living,,FALSE,,
,,,,,pxm,,,,,quetzaltepec mixe,,,,,,,,individual,living,,FALSE,,
,,,,,pye,,,,,pye krumen,,,,,,,,individual,living,,FALSE,,
,,,,,pym,,,,,fyam,,,,,,,,individual,living,,FALSE,,
,,,,,pyn,,,,,poyanáwa,poyanáwa,,,poyanáwa,,,,individual,living,,FALSE,,
,,,,,pys,,,,,"paraguayan sign language, lengua de señas del paraguay",,,,,,,,individual,living,,FALSE,,
,,,,,pyu,,,,,puyuma,,puyuma,,,,卑南语,,individual,living,,FALSE,,
,,,,,pyx,,,,,"pyu (myanmar), pyu (burma)",,,,,,,,individual,ancient,,FALSE,,
,,,,,pyy,,,,,pyen,,,,,,,,individual,living,,FALSE,,
,,,,,pzn,,,,,para naga,,,,,,,,individual,living,,FALSE,,
,,,,,qua,,,,,quapaw,quapaw,,,quapaw,,,,individual,living,,FALSE,,
,,,,,qub,,,,,huallaga huánuco quechua,quechua huallaga,,,,,,que,individual,living,quechua,FALSE,,
,,,,,quc,,,,q'iché,"k'iche', quiché, central quiché",,,,quiché central,,基切语,,individual,living,quiché,FALSE,,
,,,,,qud,,,,,calderón highland quichua,,,,,,,que,individual,living,quichua,FALSE,,
,,,,,quf,,,,,lambayeque quechua,,,,,,,que,individual,living,quechua,FALSE,,
,,,,,qug,,,,,chimborazo highland quichua,,,,,,,que,individual,living,quichua,FALSE,,
,,,,,quh,,,,,south bolivian quechua,,,,,,南玻利维亚克丘亚语,que,individual,living,quechua,FALSE,,
,,,,,qui,,,,,quileute,,,,,,,,individual,living,,FALSE,,
,,,,,quj,,,,,joyabaj quiché,,,,,,,,individual,living,quiché,TRUE,,
,,,,,quk,,,,,chachapoyas quechua,quechua chachapoyas,,,,,,que,individual,living,quechua,FALSE,,
,,,,,qul,,,,,north bolivian quechua,,,,,,,que,individual,living,quechua,FALSE,,
,,,,,qum,,,,,sipacapense,,,,,,,,individual,living,,FALSE,,
,,,,,qun,,,,,quinault,,,,,,,,individual,extinct,,FALSE,,
,,,,,qup,,,,,southern pastaza quechua,,,,,,,que,individual,living,quechua,FALSE,,
,,,,,quq,,,,,quinqui,,,,,,,,individual,living,,FALSE,,
,,,,,qur,,,,,yanahuanca pasco quechua,,,,,,,que,individual,living,quechua,FALSE,,
,,,,,qus,,,,,santiago del estero quichua,,,,,,,que,individual,living,quichua,FALSE,,
,,,,,qut,,,,,west central quiché,,,,,,,,individual,living,quiché,TRUE,,
,,,,,quu,,,,,eastern quiché,,,,,,,,individual,living,quiché,TRUE,,
,,,,,quv,,,,,sacapulteco,,,,,,,,individual,living,,FALSE,,
,,,,,quw,,,,,tena lowland quichua,,,,,,,que,individual,living,quichua,FALSE,,
,,,,,qux,,,,,yauyos quechua,,,,,,,que,individual,living,quechua,FALSE,,
,,,,,quy,,,,,ayacucho quechua,,,,,,,que,individual,living,quechua,FALSE,,
,,,,,quz,,,,,cusco quechua,,,,,,,que,individual,living,quechua,FALSE,,
,,,,,qva,,,,,ambo-pasco quechua,,,,,,,que,individual,living,quechua,FALSE,,
,,,,,qvc,,,,,cajamarca quechua,,,,,,,que,individual,living,quechua,FALSE,,
,,,,,qve,,,,,eastern apurímac quechua,,,,,,,que,individual,living,quechua,FALSE,,
,,,,,qvh,,,,,huamalíes-dos de mayo huánuco quechua,,,,,,,que,individual,living,quechua,FALSE,,
,,,,,qvi,,,,,imbabura highland quichua,,,,,,,que,individual,living,quichua,FALSE,,
,,,,,qvj,,,,,loja highland quichua,,,,,,,que,individual,living,quichua,FALSE,,
,,,,,qvl,,,,,cajatambo north lima quechua,,,,,,,que,individual,living,quechua,FALSE,,
,,,,,qvm,,,,,margos-yarowilca-lauricocha quechua,,,,,,,que,individual,living,quechua,FALSE,,
,,,,,qvn,,,,,north junín quechua,,,,,,,que,individual,living,quechua,FALSE,,
,,,,,qvo,,,,,napo lowland quechua,,,,,,,que,individual,living,quechua,FALSE,,
,,,,,qvp,,,,,pacaraos quechua,,,,,,,que,individual,living,quechua,FALSE,,
,,,,,qvs,,,,,san martín quechua,,,,,,,que,individual,living,quechua,FALSE,,
,,,,,qvw,,,,,huaylla wanca quechua,quechua huaylla,,,,,,que,individual,living,quechua,FALSE,,
,,,,,qvy,,,,,queyu,,,,,,却隅语,,individual,living,,FALSE,,
,,,,,qvz,,,,,northern pastaza quichua,,,,,,,que,individual,living,quichua,FALSE,,
,,,,,qwa,,,,,corongo ancash quechua,quechua corongo,,,,,,que,individual,living,quechua,FALSE,,
,,,,,qwc,,,,,classical quechua,,,,,,古典克丘亚语,que,individual,historical,quechua,FALSE,,
,,,,,qwh,,,,,huaylas ancash quechua,quechua huaylas,,,,,,que,individual,living,quechua,FALSE,,
,,,,,qwm,,,,,kuman (russia),,,,,,库曼语,,individual,extinct,,FALSE,,
,,,,,qws,,,,,sihuas ancash quechua,,,,,,,que,individual,living,quechua,FALSE,,
,,,,,qwt,,,,,kwalhioqua-tlatskanai,,,,,,,,individual,extinct,,FALSE,,
,,,,,qxa,,,,,chiquián ancash quechua,quechua chiquian,,,,,,que,individual,living,quechua,FALSE,,
,,,,,qxc,,,,,chincha quechua,,,,,,,que,individual,living,quechua,FALSE,,
,,,,,qxh,,,,,panao huánuco quechua,quechua panao,,,,,,que,individual,living,quechua,FALSE,,
,,,,,qxi,,,,,san andrés quiché,,,,,,,,individual,living,quiché,TRUE,,
,,,,,qxl,,,,,salasaca highland quichua,,,,,,,que,individual,living,quichua,FALSE,,
,,,,,qxn,,,,,northern conchucos ancash quechua,,,,,,,que,individual,living,quechua,FALSE,,
,,,,,qxo,,,,,southern conchucos ancash quechua,,,,,,,que,individual,living,quechua,FALSE,,
,,,,,qxp,,,,,puno quechua,,,,,,,que,individual,living,quechua,FALSE,,
,,,,,qxq,,,,qaşqaycə,qashqa'i,,,,,,卡什加语,,individual,living,,FALSE,,
,,,,,qxr,,,,,cañar highland quichua,,,,,,,que,individual,living,quichua,FALSE,,
,,,,,qxs,,,,,southern qiang,,,,,,南羌语,,individual,living,,FALSE,,
,,,,,qxt,,,,,santa ana de tusi pasco quechua,,,,,,,que,individual,living,quechua,FALSE,,
,,,,,qxu,,,,,arequipa-la unión quechua,,,,,,,que,individual,living,quechua,FALSE,,
,,,,,qxw,,,,,jauja wanca quechua,quechua jauja,,,,,,que,individual,living,quechua,FALSE,,
,,,,,qya,,,,,quenya,,quenya,квенья,quenya,,昆雅语,,individual,constructed,,FALSE,,
,,,,,qyp,,,,,quiripi,,,,,,,,individual,extinct,,FALSE,,
,,,,,raa,,,,,dungmali,,,,,,,,individual,living,,FALSE,,
,,,,,rab,,,,,camling,,,,,,,,individual,living,,FALSE,,
,,,,,rac,,,,,rasawa,,,,,,,,individual,living,,FALSE,,
,,,,,rad,,,,,rade,,,,,,,,individual,living,,FALSE,,
,,,,,raf,,,,,western meohang,,,,,,,,individual,living,,FALSE,,
,,,,,rag,,,,,"logooli, lulogooli",,,,,,,luy,individual,living,,FALSE,,
,,,,,rah,,,,,rabha,rabha,,,,,,,individual,living,,FALSE,,
,,,,,rai,,,,,ramoaaina,,,,,,,,individual,living,,FALSE,,
,,,,,rak,,,,,tulu-bohuai,,,,,,,,individual,living,,FALSE,,
,,,,,ral,,,,,ralte,,,,,,,,individual,living,,FALSE,,
,,,,,ram,,,,,canela,,,,,,,,individual,living,,FALSE,,
,,,,,ran,,,,,riantana,,,,,,,,individual,living,,FALSE,,
,,,,,rao,,,,,rao,,,,,,,,individual,living,,FALSE,,
,,,,,raq,,,,,saam,,,,,,,,individual,living,,FALSE,,
,,,,,ras,,,,,tegali,,,,,,,,individual,living,,FALSE,,
,,,,,rat,,,,,razajerdi,,,,,,,,individual,living,,FALSE,,
,,,,,rau,,,,,raute,,,,,,,,individual,living,,FALSE,,
,,,,,rav,,,,,sampang,,,,,,,,individual,living,,FALSE,,
,,,,,raw,,,,,rawang,,,,,,,,individual,living,,FALSE,,
,,,,,rax,,,,,rang,,,,,,,,individual,living,,FALSE,,
,,,,,ray,,,,,rapa,,,,,,,,individual,living,,FALSE,,
,,,,,raz,,,,,rahambuu,,,,,,,,individual,living,,FALSE,,
